varech	wawèt
verrederhum	ponch,pétépyé,sèk,tisèk,foliba,maténonm
véritable	véritab
versatile	palayi-palaya
vie	lavi
vice	vis
vicieux	visyé,mako
vis	vis
voiture	loto
voler	vôlè
vorace	agoulou,agoulou-gran-fal,saf
voracité	agouloutri
vouloir	lé
voyou	vakabon
vrai	vréabeille	mouchanmyèl
accelérer	akséléré,pilé
accélérateur	aksélératè
acheter	genyen,achté
acteur	aktè
action	aksyon
actionnaire	aksyonnè
actrice	aktris
admettre	admèt
admirable	admirab
admirateur	admiratè
admirer	admiré
afè	affaire
africain	afritjen
afrique	lafrik
agréable	agréyab
agriculture	agrikilti;lagrikilti
agir	aji
aide	pal
aiguille	zédjui
allumer	limen
allumette	zalimèt
ami	zanmi,konpè,padna
amie	makôkôt,zanmi
amitié	lanmityé
ampoule	zanpoul
anémone	koukoun-lanmè
anguille	zandji
anneau	zanno
appât	lak
arbre	piébwa
arête(demeuble,demuretc.)	kan
assurance	lasirans,asirans
assurer	asiré
assureur	asirè
atelier	latilyé,atilyé
attacher	taché,maré
attacherlemouchoirdetête	kalanndémadras-la
attacheusedecanneàsucre	marez
attitude	latitid,atitid
aujourd'hui	jòdi
avortement	avotman
avorter	avòté
avorton	tigrenn-chienbarbe	bab
bague	bag
blaguer	pwanlablag;badojé
bille	mab,agat,kristal,kannik
blagueur	badjolè
bal	bal
balai	balé
balancer	balansé
baleine	balenn
balle	boul
ballon	boule
balourd	lousmamé
balourdise	mannièlousmamé
banc	ban
bambou	banbou
banquet	granpenteng
beau	bèl
beauté	belté,laboté,boté
bête(animal)	bet
bête	bèt,kouyon,tèbè,ababa,apoda,atjoupanm
beurre	bè
blanc	blan(couleur);bétjé-fwans(race)
blanchir	blanchi;métélablanni(linge)
bleu	blé
boire	bwè;bwésonnen
boite	bwèt
boiteàordures	bwètzôdi,bonmzôdi
boiteenmétal	bonm
bosquet	razyé
bosse	bôs
bossu	bosi,bôsko
bouche	bouch,djôl,djèl
bouchbée	èstébékwé
bouger	brennen,rimyen,rimen
bougie	bouji,balenn,blan-balenn
bourdon	vonvon
bourse	bous
boudonner	vonvonner
buisson	razyé
buste	bis
but	bi
buveur	tafyatè,wonmyé,bivècache-cache	zwèlséré
canard 	kanna.
cancer	kansè
caresse	karès,miyonnaj
caresser	karésé,miyonnen
cauchemar	vyérèv
cercueil	sèrtjèz,sèrkèy
chandelle	chandèl
chandelier	chandelier
changer	chanjé,mofwazé
chance	chance
chanceux	chansé
chaleur	chalè
champion	mapipi
chanter	chanté
chanteur	chantè
chat	chat
chaude-pisse	chôlpis
chaudière	chodyè
chauffer	chofé
chauffeur	chofè
chauve	youl,tèt-kokosèk
chercher	chèché,chaché
chéri	doudou
chien	chyen
chomage	chomaj
chomeur	chomè
cigare	siga
cigarette	sigarèt
cinéma	siléma,sinéma
clitoris	landjèt
cocufiage	kout-kôn
cocufier	kônen
coincer 	kwennsé.
colline	môn
colonnevertébrale	larèldo
combat	konba,goumen,ladjè
combattre	konbat,bat,goumen,fè/lévéladjè
compte	kont
compter	konté
concert	konsè
concombre	konkonm
confondre	konfonn
confiture	konfiti
confusion	bankoulélé,lélékou,manjékochon
connaître	konnèt
construction	konstriksyon
construire	konstwi
contradiction	kontradiksyon,dékontwolaj
contrebande	kontribann
contrebandier	kontribandyé
contredire	kontridi,dékontwolé
contremaître	koumandè(enagriculture);kontrimèt
convaincre	konvenk
corps	kô
costaud	kôsto,malaba
coupe	koup(objet);lakoup(delacanne,delabananeetc.)
coupeurdecanne	koupèkann
courtisane	matadô
coutiser	zayé
cul	bonda,dèryè,tjou
culture	kilti
cultivateur	kiltivatè
cultiver	kiltivé
cyclône	siklôndangereux	danjéré
danser	dansé
dansè	danseur
dé	dé
découvrir	dékouvè
dentiste	dantis
déborder	débòdé ;débowné
débrouillard	débouya
débrouiller(se)	débouyékò'w
défendre	défendre
déjà	ja,za
démangeaison	gratel,lagratel
demi	dimi
demi-heure	dimi-è
demi-mondaine	matadò
démolir	dékalé,dépotjolé
démolition	dékalaj,dépotjolaj
derrière	dèyè
derrière(cul)	deriè,tjou,bonda
deux	dé
devenir	vini
devenir(le)	divini
devin	séyansié,gadè-d-zafè
deviner	divinen;fèséyans
devoir(un)	divwè
devoir	dwet,dwé
devoir(del'argent)	dwé
directeur	dirèktè,mèt-a-manyôk
direction	dirèksyon
divinasyon	séyans
doigt	dwèt
dormir	dômi
dos	do
doux	dous
